Country,name,targeting,recipients,trans_usd,trans_lcu,trans_gdp,budget,cost,mechanism,comments,sources,
India 2,Indira Gandhi National Disability Pension (in 28 states and UT's).,Means tested,"3,241,000 (NSAP 2012)",$4.90 (2012),200 INR (2012),3%,"4,310 million Rupees(2012) ",0.004%,"The applicant must have severe or multiple disabilities, belong to a household living below the poverty line according to the criteria prescribed by the Government of India. Other criteria vary by state, broadly relating to degree of family support and income. People must undergo a medical examination to determine disability of at least 80% of “normal” physical or mental capacity to qualify for a pension. In Haryana it is set at 70% disability. In Bihar, it is set at 80%. 'Level' of disability for eligibility seems to vary between States. Gooding and Marriot noted eligibility level of disability was set at 40% in 2009. Medical examinations do not take account of the particular factors (personal and contextual) that limit functioning. Persons with autism and other spectrum disorders do not qualify for assistance in India. (Whitworth et al 2006).","The pension is part of the National Social Assistance Programme (NSAP). But there  is no clear guidance for medical assessors and implementation of a Disability test is difficult and subjective. In two rural districts in India, 60% of PWDs were unaware of the existence of a disability pension and coverage is limited with estimates suggesting less than 10% of all persons with disabilities receive the disability pension (World Bank 2007). The disability pension was insufﬁcient to pay for 1 week’s medicine for people with severe impairments . ","Gooding and Marriott (2009), World Bank (2007). Ministry of Human Resource Development (2013), Ministry of Social Justice and Empowerment (2013).",
India 3,Education Scholarships,Means tested,Unknown ,$6.5- $16,"400 INR - 1,000 (2013)",5.3%-13.3%, ,,"1) The National Scholarship for Persons with Disabilities: For students pursuing higher and technical education with 40% or more disability whose monthly family income does not exceed Rs. 15,000/-are eligible for scholarship (Ministry of Social Justice and Empowerment, 2013). 2) The Scheme of Inclusive Education for Disabled at Secondary Stage (IEDSS) has been launched from the year 2009-10. The scheme covers all children studying at secondary stage in Government, local body and Government-aided schools, with one or more disabilities as defined under the Persons with Disabilities Act (1995) and the National Trust Act (1999) in the class IX to XII, namely blindness, low vision, leprosy cured, hearing impairment, locomotor disabilities, mental retardation, mental illness, autism and cerebral palsy, and may eventually cover speech impairment, learning disabilities, etc. (Ministry of Human Resource Development (2013).",For school age children with disabilities.  ,"Gooding and Marriott (2009), World Bank (2007). Ministry of Human Resource Development (2013), Ministry of Social Justice and Empowerment (2013).",
India 4,Aam Admi Bima Yojana (AABY),Social insurance,6 million members (2010),"US$1,200 lump sum","INR 75,000 lump sum (2012)",N/A,N/A,N/A,,"Social insurance scheme - covers rural landless households by insuring the head of the family, or one earning member in the family, for a premium of INR 200 per year per person to cover death and disability. Half the money comes from the Government of India and the other half comes from the state governments. It pays INR 75,000 for accidental death or total disability. The beneficiary pays no premium out-of-pocket at all. By the end of 2010, 6 million persons were covered by the scheme.",ISSA (2013).,
Indonesia,Assistance for Severely Disabled Persons (ASODKB),,"19,500 (2011)",US$25,"300,000 Rupiah",12%,,,,,Kidd (2013a),
Malaysia,Allowance to Persons with Disabilities (workers),Means tested.,"45,000 (2010)",$96.00 (2012),300 MYR (2012),11%,146.07 RM Millions (2010),0.018%,"The conditions for entitlement are as follows: (i) registered as a person with disability with the welfare department; (ii) self employed or employed with an employer; (iii) with a monthly income in the range of RM200 and RM 400 or RM500 (no more than 1,200 per month), if employed; and (iv) does not stay in an institution for the disabled. ","Under this scheme, financial assistance is provided to enhance the income of the person with disability, enabling the fulfilment of the normal needs of a PwD. The aim of the programme is to encourage PwDs to work, gaining self-sufficiency and independence from other family members. The assistance is expected to improve the living standards of the disabled person in the community.","Sharma (2012) for ADB. Ministry of Health, Malaysia (2012)",
Malaysia 2,Bed ridden PWD Care Allowance,Means tested.,Not found.,$96.00 (2012),300 MYR (2012),11%,Unknown,,"For persons to care for 'bed-ridden' PWD. Family income must not be more than 3,000 MYR per month.",,,
Maldives,Allowance for the Blind.,Universal,2000 (2009),$77 (2009),MRF 1000 (2009),15%,"4,500,000 MRF -approximately $347,000 USD (2010) 
",0.020%,"Registration is required at National Social Protection Agency (NSPA) as a blind person eligible to receive the benefit and disbursement of cash 
assistance through the atoll offices. 
",The Maldives offer a minimum social protection package. The Allowance for the Blind or Disability Benefits program was initiated in 2000.  ,Ibrahim (2012),
Maldives 2,Disability Assistance Scheme,Universal,Unknown ,$127 (2011),MRF 2000 (2011),25%,Unknown,,,"Disability assistance schemes have been initiated in 2011 for all PWDs who have completed the formal registration process. The assistance includes a cash allowance of MRF2000 per month, and membership in the social health insurance scheme, Madhana.",Ibrahim (2012),
Mongolia 1,Social Security for Disabled,Tax financed,35900 (2010),,,,MNT 5.3 billion (2010),0.060%,,"A number of concessions and discounts are available to disabled people. These include discounts for rent, fuel wood and coal, hearing applicances, some transport costs, and wheelchairs, among others. the number of beneficiaries in this category increased markedly over the last 3 years.",Byamba (2012) ADB report,
Mongolia 2,Disability Pension,Social Insurance Programme,,,,,,,,"The disability pension is part of the broader pension social insurance scheme, which mainly provides old age pensions. The pension insurancescheme is the largest of the social insurance schemes Over 60% of pensions receive the minimum pension, which by law, must be equal to 75% of the minimum wage. Eligibility for Invalidity Pension consists of: i) the insured person having lost not less than 50% of his capacity for work permanently or for a long duration due to a non-occupational disease or accident, provided he has paid contributions of pension insurance for not less than 20 years, or a period of 3 out of 5 years, immediately prceding the date of commencement of invalidity; and the ii) insured person who has not satisfied the contribution period specified in Section 1 of this Article shall be eligible for invalidity reduced pension in proportion to the total contribution period provided he has paid contributions of pension insurance for not less than 3 years in total.",Byamba (2012) ADB Report,
Nauru,Disability Benefit,Universal,66 (2011),$77 (2012),$75 AUD per fortnight (2012),,"85,800 AUD - approx $77,000 USD (2009)",,"There is a Disability Committee that interviews applicants for the Disability Allowance. The interview panel consists of a doctor and one hospital staff, usually the head nurse. The Committee abides by a list of questions provided by the Government such as: (i) Are you able to dress yourself? (ii) Are you able to clean yourself after ablution?; (iii) Are you able to feed yourself?; and (iv) Are you able to walk?. There are three outcome rankings – mild is two negative responses, moderate is three negative responses, and severe is four negative responses. Only applicants that receive severe rankings are eligible for the disability allowance. The Committee aims to expand the criteria list and has recently added new criteria on communication to test the applicant’s ability to communicate for basic needs. The Committee also referred the matter of blindness to the eye specialist who visits Nauru every four months. 
","The Allowance for Disability was introduced in 2008. Beneficiaries of the allowance are immediately disqualified upon receipt of other sources of 
income such as receiving another benefit or allowance or upon employment. The Committee aims to expand the criteria list and has recently added new criteria on communication to test the applicant’s ability to communicate for basic needs.
","Olsson (2012).
",
Nepal ,Disabled Allowance - fully/partially disabled,Universal (but regional quota),"23,000 (2011)",$3.45- $11.50 (2011),500Rs (2012),6%-20%,NRs 205 million - $2.7 million (2009),0.020%,"In 2009, the Unified Communist Party of Nepal Maoist–led government categorized the disabled into ‘fully disabled’ and ‘partially disabled’, introducing a monthly benefit of NRs 300 for the partially disabled and NRs 1,000 for the fully disabled (2009) . While all fully disabled are eligible to receive the benefit, the district-wise quota is applicable for the partially disabled. The Women Development Office under the Ministry of Women, Children and Social Welfare administers the identification and certification of the disabled (disability test) while the allowance is distributed through the local bodies.","Nepal has two types of adult disability transfer: One for those with severe disabilities (15,000 recipients in 2011) and the other for less severe disabilities (8,000) recipients. There is a quota in the number of allowances to be given in a particular district, based roughly on the population of the district . The decision – in 2009 – to expand the Disability Grant by introducing two categories of grant resulted in a further increase. The Disability Grant for the Fully Disabled is meant to be universal –though it is difficult to access – and now provides 70% of all beneficiaries of disability grants. For the severely disabled, the main challenge is in proving their disability. In theory, if they can do this, they should be able to access the scheme. But, guidance on this is unclear and each District is likely to establish its own disability assessment
mechanism(Kidd and Wylde 2011). ","Rana (2012) for ADB, Kidd and Wylde (2011)",
Palau,Severely Disabled Fund,Universal,Unknown,$50-$75 (2012),,,Unknown,,"In order to be eligible to receive Fund benefits, an individual has to complete an application and the Ministry of Health who will review, assess and determine the severity of the disability. The Screening Committee is composed of individuals from various Government agencies that will provide the final decision for participation. Eligible applicants include the blind, homebound, mentally ill, and wheelchair bound individuals. Persons with disabilities resulting from accidents are also eligible to apply for the Fund. The Fund beneficiaries currently receiving assistance include people with mental and physical disabilities. Individuals with diseases such as schizophrenia are also eligible for the Fund, and after medication, should be available for employment. If an individual is already receiving assistance from the Pension Plan, Social Security Program, or other programs, the application will not be funded. 
",The Palau Severely Disabled Fund was established in 2003.,Katosang (2012).,
Papua New Guinea,New Ireland Disability Benefit,Universal,"c.5,000",Unknown,Unknown,,Unknown,,,The programme is restricted to the island of New Ireland and is funded by the local government,,
Philippines,Social Insurance for Workers and Employees in Government Service,Social Insurance Programme,105.9 (000's) 2009,,,,"3,133.80 million Pesos (2009)",,"Membership in government social insurance is mandatory. This is to ensure social insurance and protection for the workforce, in sickness, disability, retirement, and upon death to surviving spouse and dependents.","The first is social security including 
maternity, disability, retirement, death, and funeral services. It provides replacement income in times of death, sickness, disability, maternity and old age. The second is employees’ compensation that includes medical services, rehabilitation services and income cash benefit during the first day of disability or sickness, permanent total disability, including medical services and appliances. 
",Cantos-Hamper (2012) for ADB,
Republic of Korea,Disability Benefits,Means tested,"487,000 (2009)",$26- $113 (2009),"30,000-130,000 Won (2009)",1.6%-7.2%,"287,016 million KRW (2009)",0.027%,Amount received dependant on severity of disability and level of income. Uses a disability grading of 1 or 2 or 3. ,"In order to promote financial stability to low-income people with disabilities, the Korean Government has gradually increased the amount of allowance and the scope of beneficiaries since the inception of the scheme.",Han (2012).,
Republic of Korea 2,Allowance for Children with Disabilities,Means tested,"18,000 (2009)",$86- $172 (2009),"100,000-200,000 Won (2009)",5.5%-11.1%,"22,630 million KRW (2009)",0.002%,"Provided to carers. In 2007, the allowance expanded to all in-home disabled children who are beneficiaries of the National Basic Living Security Program or the near poor. ","The Korean Government introduced in 2000, a new system to offer a dependent allowance for children with disabilities to caregivers in the low-income class. The allowance encouraged the healthy growth of disabled children by supporting additional costs required to raise them.
",Han (2012).,
Singapore,Interim Disability Assistance Programme for the Elderly (IDAPE),Means tested.,Not found.,$122 - $204 (2013),$150-$250 (2013),278%-4.5%,38 million SGD (2009),0.014%,"Financial help to needy and disabled elderly Singaporeans, who were not eligible to join ElderShield when it was launched in 2002 because they had exceeded the maximum entry age or have pre-existing disabilities. The scheme is available to those who are (i) unable to perform 3 or more of the 6 Activities of Daily Living or ADLs such as washing, feeding, dressing, toileting, mobility, and transferring; and (ii) aged 70 and above. Means tested: per capita household monthly income needs to be $2,600 or less. Only pays for a maximum of 72 months. ","Government assistance scheme that provides financial help to needy and disabled elderly Singaporeans, who are not eligible for ElderShield (private protection) ","Sharma (2012), Ministry of Health, Singapore (2013).",
Sri Lanka,Assistance for the Disabled (Mahinda Chintana Programme),Means tested,"2,129 (2011).",$24(2012),"3,000R (2012)",10%,"$669,915 USD (2011)",,Only the poorest households with low income are eligible for programs by the Ministry of Social Services (below Rs.3000/- monthly). Priority is given if the breadwinner is disabled or of the beneficiary is severely disabled. ,"The National Secretariat for Persons with Disabilities, under the purview of the Ministry of Social Services, is involved in many social assistance schemes for persons with disabilities. The Secretariat provides Rs. 3000 (USD 26.10) monthly assistance to a family with a disabled person. They also have mobile services to distribute assistive devices (e.g., wheel chairs, crutches, elbow crutches, and spectacles) with a cost of Rs.6.3 million (USD 54,811); and provide in-kind educational assistance for disabled children with a cost of Rs.0.14 million (USD 1,218) for 12 students in 2009. 
","Galappattige, Jayaweera, Perera and Buhari (2012) for ADB. Ministry of Social Services Sri Lanka (2012) 
",
Tajikistan,Disability pension,Unknown,Unknown,US$32-US$168 (2013),150 to 800 Somoni,35.1% - 187%,Unknown,,,"There are three levels of disability and benefits vary between them: 
• Levels 1 & 2: 150- 800 Somoni
• Level 3: 150 – 480 Somoni 
","S. Ramkissoon, personal communication",
Thailand,Social Security Fund  ,Social Insurance Programme,Unknown,n/a,n/a,,44 billion baht,,"Medical expense and income compensation 
Rehabilitation expenses for physical and mental disability. The employee is entitled to sickness and benefits once the employee has worked for at least three months. 
","Requiring all enterprises to register their employees in the system and pay contributions to the Social Security Office (SSO). The Thai social security system covers only employees of private entreprises, both profit and non-profit. During sickness, the 
employee shall receive 50% of normal wages. ",Wedel (2012) for ADB.,
Thailand 2,Workmen’s Compensation Fund (WCF),Social Insurance Programme,"145, 216 (2010)",,,,"1,592.63 million baht.",,,"Workmen’s Compensation Fund (WCF), established to insure employees of private firms against work related injuries that can result in loss of income. The WCF is funded with employer contributions. The WCF compensates employees who are dead, injured, suffered loss of organs or disabled due to work-related causes.",Wedel (2012) for ADB.,
Timor L'Este,Support Allowance for Elderly and People with Disabilities.,Universal,"5,558 (2012)",$30 (2012),$30 (2012),7%,c. US$2 million,c.0.03%,"Benefit eligibility for social assistance requires a person with disability to be East Timorese, 18 years of age and above, having lived in the country for a minimum one year at the time application, and bearing a medical certificate of mental and physical incapacity. The 
program definition of people with disability focuses only on people who are physically and mentally disabled and completely dependent on support from other people. 
",Managed under the National Directorate of Social Security in the Ministry of Social Solidarity.,"Camnahas (2012) for ADB. World Bank (2013).
",
Uzbekistan 1,Disability Pension,Social Insurance.,"399,020 (2012)",US$74 as a minimum (in 2012). Average in 2010 was US$96.,"Minimum of 156,000 USZ",51% (2012),US$633 million,1.620%,Provided to those PwD who have paid contributions to the Pension Fund and are categorised as Class I or Class II disabilities. A medical assessment is undertaken and focuses on ability to work,"The Disability Pension was also received by PwDs with Class III disabilities, but they were excluded in 2010. The Pension continues into old age and is paid instead of an old age pension.",Kidd (2013b); UNDP 2012); Shagazatova (2012); State Committee on Statistics (2012).,
Uzbekistan 2,Allowances to People (adults) disabled Since Childhood,Universal,"119,700 (2012)",US$37-74 (2013),"78,000 to 156,000USZ (2013)",26% to 51%,US$117.6 million,0.35% (2009),Provided to all those who are categorised as having Class I or Class II disabilities. A medical assessment is undertaken and focuses on ability to work.,"The benefit was also received by PwDs with Class III disabilities until 2010, when they were excluded. The benefit continues to be paid into old age. Recipients are not permitted to gain employment.
",Kidd (2013b); UNDP 2012); Shagazatova (2012); State Committee on Statistics (2012).,
Uzbekistan 3,Allowances to Disabled who do not have necessary record of service.,Universal,"2,400 (2012)",US$37-74 (2013),"78,000 to 156,000USZ (2013)",26% to 51%,US$0.25 million,0.001%,"Provided to all those who are categorised as having Class I or Class II disabilities. A medical assessment is undertaken and focuses on ability to work.
","The benefit was also received by PwDs with Class III disabilities until 2010, when they were excluded. The benefit continues to be paid into old age. Recipients are not permitted to gain employment.",Kidd (2013b); UNDP 2012); Shagazatova (2012); State Committee on Statistics (2012).,
Uzbekistan 4,Disabled Children Benefit,Universal.,"79,600 (2012)",$74 (2013),"156,000 UZS(2013)",51%,c.US$70.6 million ,0.13% (2013),"Allowances to disabled children are provided by Ministry of Finance Medical-control commissions (VTEK) at district clinics. A medical certificate issued by the medical consultative commission that recognizes a child’s disability serves as a basis for receiving a disability allowance. The validity of the medical certificate is for one or two years, or up to the age of 16 years depending on the disability.","The size of allowance is 100% of the minimum 
wage. These disability allowances are administered by the State Pension Fund under the Ministry of Finance.",Kidd (2013b); UNDP 2012); Shagazatova (2012); State Committee on Statistics (2012).,
Vietnam,Social Assistance ,Means tested.,"297,100 (2009) ",$9-$23 (2010),"180,000 - 450,000 VND (2010)",8.7%-21.8%,"517,509.6 million VND (2009) or US$26.8 million",0.029%,"To seriously disabled persons in poor households without working ability and households with two or more seriously disabled persons without the capacity to take care of themselves and mental disease patients without any support and belonging to poor households. A lump sum is paid for an assessed disability of at least 5% (a person with an assessed disability of at least 31% receives the grant in addition to the permanent disability benefit). A Ministry of Health medical board assesses the degree of disability (ISSA 2013). Recently, the basic allowance has been increased to 180,000 VND per beneficiary living in communities and 360,000-450,000 VND per beneficiary living in social protection centres. Other wealthier provinces or cities have been provided with a higher level of allowance.",,"ISSA (2013), Tuan (2012).",
Vietnam 2,War Invalids and Heroes Fund,,1.3 million,$7-$27 (2006),"120,000- 450,000 VND(2006)",11%-42%," 3,724 billion dong (2002/2003)",,"Assessments made to establish low levels of disability - Require a 90% assessed level of disability. Allowances start at 40% of the minimum wage (D120,000 per month) for low levels of disability and rise to 160% (D450,000) for those with 90% or more disability. School costs for children of veterans with over 60% disabilities are also provided, while the most severely disabled receive full health care (ADB, 2006).",This benefit is potentially larger than the mainstream disability benefit as it has reached 1.3 million people in 2006 (ADB 2006). ,Tuan (2012) for ADB and ADB (2006).,
Russia,State Disability Pension.,Means tested.,Not found. ,$89 - $104 (2012),"RUR 2,701 - 3,179 (2012)",7.4% -8.7%,40.4 Billion RUR (2011) ,0.070%,"For those who are not entitled to labour pension. The pension depends on the assessed degree of disability. Disabled Group I: 100% loss of working capacity and requires constant attendance. Group II: 100% loss of working capacity and does not require constant attendance. Group III: 50% loss of working capacity and does not require constant attendance. There is no minimum qualifying period for persons younger than age 20 whose disability is due to a general illness or for any disability resulting from a severe work injury, an occupational disease, or military service.","Social protection of the disabled stipulates comprehensive activities, including free medical aid under the programme of social guarantees of public medical care, guaranteed access to vital sources of information and unhindered access to social infrastructure facilities; accommodation; education for disabled children adjusted to the individual situation; benefits including various allowances (pensions, compensations, insurance and other payments); guaranteed social services; and medical and domestic services at home or in residential care facilities for those who require constant care.",ISSA (2013a),
Kenya ,Cash Transfer Program to Persons with Severe Disability ,Means tested.,"2,100 (2010)",$18- 24  (2010),"1,500- 2,000 KES (2010)",28%- 37%,38 million KSH (2010),,"New pilot, initiated in 2011, targeting initially 10 households in each constituency, increased to 70 households in each constituency (2012).  Three eligibility criteria for the program, all of which must apply: (i) households must be caring for people with severe disabilities (those who need permanent care including feeding, toileting, protection from danger from themselves, other persons, or the environment, those who need intensive support on a daily basis which keeps caregivers at home or close to them at all times); (ii) they must be extremely poor; and (iii) they must not be enrolled in any other cash transfer program or be receiving any pension or other regular income. Proof of the “severity of the disability” was identified as a silent criterion for eligibility in one of the sites visited by the assessment team (Amuyunzu-Nyamongo, 2013).
","The Kenya Government plans to establish a National Safety Net Program (NSNP) that will provide a coordinated and harmonized framework for the five main cash transfer programs: the Cash Transfer for Orphans and Vulnerable Children; the cash transfer for Persons with Severe Disabilities; the Older Person’s Cash Transfer; the Urban Food Subsidy Cash Transfer; and the Hunger Safety Net Program. The Ministry of Gender, Children and Social Development (MGCSD) manages the cash transfer for Persons with Severe Disabilities. Programs with their current resource levels are largely limited in coverage. For instance, in some locations, only four to eight PWSD are benefitting from the program, which leaves out a large pool of people who qualify for support. To ensure that only the most deserving people are supported, the PWSD-CT program involves disability groups in the targeting process on the assumption that the members know each other and are able to identify those most in need among them. However, some of the community members claimed that favouritism had determined the selection of PWSD-CT beneficiaries. It may also be the case that some community members who choose to hide their disability are being left out of the program (Amuyunzu-Nyamongo, 2013).","Ministry of Gender, Children and Social Development (2013, 2011). Amuyunzu-Nyamongo (2013). Ministry of State for Planning, National Development and Vision 2030 (2012).",
Lesotho,Disability Allowance - cash transfer (Social Pension Scheme),Means tested.,Not found,$16.6 per month (nd),"8,000 Maloti per month  - pension (nd) ",,Not found. ,,"Covers destitute and disabled - identified by the community. Lesotho offers a monthly cash transfer to people with disabilities, as well as a separate safety net for vulnerable groups, in which people with disabilities are listed amongst eligible beneficiaries.",,"ISSA (2013), Devereaux and Cipryk (2009), Gooding and Marriott (2009)",
Mauritius 1,Invalid's Basic Pension,Universal,"30,564  (2012)",$103 (2013),Rs 3020 (2013),13%,"Rs. 1,431 million (2012).  - including Carer's allowance and child's allowance. 
",0.41% (including Carer's allowance and child's allowance)," People aged 15-59 certified by a Medical Board as either permanently or substantially incapacitated to work to a physical degree of 60% for at least 12 months (ISSA 2013). A medical board assesses the disability (Gooding and Marriott 2007).
",,"ISSA (2013), World Bank (2010), Ministry of Finance and Economics (2013).",
Mauritius 2,Childs Allowance,Universal,"10,810 (2012)",$31- $33 (2012),Rs 979 - 1048 (2012),4.4%-4.7%,See above. ,,"Paid for the first three children of a basic disability pensioner. Children must be younger than age 15 (age 20 if a full-time student at secondary level and age 23 at tertiary level), ISSA, 2013.","Mauritius has an extensive social protection system, but the system is complex and spread across many ministries with many small programmes and high administration costs. Having many social protection functions dispersed in small programmes across multiple ministries and agencies is inefficient and leads to duplication and high administrative costs. Although the elements of an appropriate social protection system are present, there is a need to strengthen and rationalise existing programmes to ensure that they better address priority risks and vulnerabilities (World Bank 2010).","World Bank (2010), ISSA (2013).",
Mauritius 3,"Caregivers
Allowance for 
beneficiaries of 
Invalid Basic 
Pension ",Means tested.,See IBP transfer above.,$58 (2012),Rs 1828 per month (2012),8%,See above. ,,"Beneficiaries of Invalid Basic Pension who need the constant care and attention of another person  (ISSA 2013) The benefit is also paid for children with disabilities and younger than age 15 whose parents’ annual income does not exceed 150,000 rupees; 250,000 rupees for children with severe disabilities (ISSA, 2013)",,ISSA (2013),
Namibia,Disability Grant (DG) ,Universal.,"20,438 (2008)",$64 (2013),$550 (2013),12%,Unknown,,Medically diagnosed by a State doctor as temporarily/permanently disabled or living with HIV/AIDS. Also children below 16 (Gooding and Marriott 2009).," 
In Namibia, 90% of disability grants were spent on necessities, particularly food. Only 25% of PWD's were recipients of the 'universal' disability grant (Gooding and Marriot 2009).","ISSA (2013),  Barrientos A, Niño-Zarazúa and Maitrot (2010). 
Gooding and Marriott (2009)",
Seychelles,Disability Pension (Social Security funded),Means tested ,Not found. ,$166(2013),"2,120 Rs (2013)",15%,Unknown,Unknown,"Pension: Must be assessed with at least a 66.7% loss of earning capacity and have resided in Seychelles for at least five years. Partial disability: Must be assessed with at least a 50 per cent loss of earning capacity and have resided in Seychelles for at least five years (ISSA 2013). Dependent’s supplement (income tested): Family income 
must be below the official family subsistence level.",Social Security Fund is government funded. ,ISSA (2013),
South Africa 1,Disability Grant (DG) Temporary or Permanent,Means tested ,"1,189,000 (2011)",$124 (2013),"1,260 Rand (2013)",23%,US$1.75 billion,0.5% (based on 2013 GDP),"Is paid to all poor adult citizens who can prove that they are incapable of supporting themselves for more than six consecutive months. The grant 
is also paid to poor citizens over 35 years old who are diagnosed with a terminal illness. The DG and CDG requires a complex process of assessment to determine whether a person is eligible or not - medical assessment is required by medical doctor. The South African revised assessment tool for the disability grant (adult disability social assistance benefit) uses a combination of self-reporting (structure interview), examination (e.g. performance tests of memory) and observation (e.g. during the assessment session) together with a separate medical confirmation of the health condition provides a comprehensive set of information on which to base the eligibility decision...eligibility is based on both the means test (including earning threshold) and the presence of a moderate or severe activity limitation.  (Schneider, 2011). 
","
","ISSA (2013), SASSA (2013), Gooding and Marriott (2009), Schneider (2011)",
